Trait,Image Name,Size,Slant,Avg Distance Between Characters
Openness,Image_1.jpeg,79981,[63.788113],33.428571
Openness,Image_2.jpeg,148986,[68.014565],3.7
Openness,Image_3.jpeg,169344,[59.733837],3.428571
Openness,Image_4.jpeg,94507,[92.76951],68.4
Openness,Image_5.jpeg,154137,[133.40915],-4.75
Openness,Image_6.jpeg,249550,[64.47124],0.428571
Openness,Image_7.jpeg,119890,[75.206004],15.923529
Openness,Image_8.jpeg,104560,[62.781434],-12.648
Openness,Image_9.jpeg,134560,[70.918249],5.578
Openness,Image_10.jpeg,135600,[85.665448],28.569
Openness,Image_11.jpeg,142300,[60.873246],18.423
Openness,Image_12.jpeg,156700,[69.783028],2.580
Openness,Image_13.jpeg,121750,[73.342606],12.403
Openness,Image_14.jpeg,132020,[76.843976],-9.568
Openness,Image_15.jpeg,147890,[67.182473],29.704
Openness,Image_16.jpeg,140960,[95.942820],16.980
Openness,Image_17.jpeg,112300,[71.084654],-8.737
Openness,Image_18.jpeg,149600,[69.865244],14.600
Openness,Image_19.jpeg,125450,[85.186745],20.045
Openness,Image_20.jpeg,158930,[61.968332],-1.234
Openness,Image_21.jpeg,115890,[68.512223],9.567
Openness,Image_22.jpeg,137780,[77.325162],24.890
Openness,Image_23.jpeg,121780,[70.934256],6.473
Openness,Image_24.jpeg,130460,[94.586974],13.970
Openness,Image_25.jpeg,142750,[60.473820],-3.764
Openness,Image_26.jpeg,126570,[69.450823],16.290
Openness,Image_27.jpeg,114520,[78.303725],-10.235
Openness,Image_28.jpeg,152340,[73.609467],7.892
Openness,Image_29.jpeg,132010,[88.354200],19.680
Openness,Image_30.jpeg,139440,[65.176420],-6.490
Openness,Image_31.jpeg,118700,[84.455654],23.432
Openness,Image_32.jpeg,127560,[76.932747],15.054
Openness,Image_33.jpeg,146890,[72.122893],-2.980
Openness,Image_34.jpeg,140780,[68.765128],28.496
Openness,Image_35.jpeg,129350,[95.569331],11.360
Openness,Image_36.jpeg,137420,[80.736451],-5.990
Openness,Image_37.jpeg,149300,[73.452678],14.200
Openness,Image_38.jpeg,115900,[67.879228],19.741
Openness,Image_39.jpeg,124060,[86.137866],21.670
Openness,Image_40.jpeg,134560,[60.049173],8.560
Openness,Image_41.jpeg,151280,[68.982904],-4.760
Openness,Image_42.jpeg,125860,[77.310572],20.490
Openness,Image_43.jpeg,118950,[69.074289],13.738
Openness,Image_44.jpeg,136450,[90.108977],17.005
Openness,Image_45.jpeg,141620,[62.451789],4.358
Openness,Image_46.jpeg,122780,[79.446728],-8.782
Openness,Image_47.jpeg,149760,[75.983643],23.401
Openness,Image_48.jpeg,117560,[69.870743],12.980
Openness,Image_49.jpeg,153440,[61.986243],10.454
Openness,Image_50.jpeg,140060,[88.706812],-3.664
Openness,Image_51.jpeg,124670,[74.102983],22.380
Openness,Image_52.jpeg,131260,[81.540896],16.299
Openness,Image_53.jpeg,117890,[70.218540],5.752
Openness,Image_54.jpeg,145870,[60.074309],20.621
Openness,Image_55.jpeg,132900,[85.549241],-1.123
Openness,Image_56.jpeg,150600,[64.394592],23.405
Openness,Image_57.jpeg,113980,[70.679120],11.214
Openness,Image_58.jpeg,129460,[77.690411],18.540
Openness,Image_59.jpeg,146710,[67.229888],12.567
Openness,Image_60.jpeg,135560,[94.421976],-3.490
Openness,Image_61.jpeg,122830,[72.470528],15.546
