Trait,Image Name,Size,Slant,Avg Distance Between Characters
Openness,Image_1.jpeg,82345,58.236789,21.457
Openness,Image_2.jpeg,143789,72.983456,15.230
Openness,Image_3.jpeg,167254,65.471982,3.678
Openness,Image_4.jpeg,95213,89.754321,49.678
Openness,Image_5.jpeg,159674,128.294567,-7.342
Openness,Image_6.jpeg,243590,70.671432,2.784
Openness,Image_7.jpeg,124780,80.473829,11.657
Openness,Image_8.jpeg,107821,67.439021,-9.875
Openness,Image_9.jpeg,136490,75.123678,6.340
Openness,Image_10.jpeg,139520,93.456789,30.220
Openness,Image_11.jpeg,145890,63.543210,17.789
Openness,Image_12.jpeg,160800,72.094563,3.987
Openness,Image_13.jpeg,123470,77.832569,8.456
Openness,Image_14.jpeg,134780,80.245678,-5.239
Openness,Image_15.jpeg,148690,68.314759,25.932
Openness,Image_16.jpeg,142560,97.234568,12.485
Openness,Image_17.jpeg,116790,74.923678,-7.491
Openness,Image_18.jpeg,152310,71.283456,18.932
Openness,Image_19.jpeg,127640,87.658974,22.873
Openness,Image_20.jpeg,161290,65.872945,-3.124
Openness,Image_21.jpeg,119540,73.567894,10.238
Openness,Image_22.jpeg,140670,79.231567,29.543
Openness,Image_23.jpeg,124870,72.987456,4.569
Openness,Image_24.jpeg,131780,90.345678,17.485
Openness,Image_25.jpeg,147890,64.908745,-2.678
Openness,Image_26.jpeg,128470,76.543210,14.890
Openness,Image_27.jpeg,115800,82.134679,-8.234
Openness,Image_28.jpeg,153210,79.567823,11.987
Openness,Image_29.jpeg,137890,87.654321,27.678
Openness,Image_30.jpeg,141230,68.901234,-1.567
Openness,Image_31.jpeg,120670,84.234567,18.459
Openness,Image_32.jpeg,130480,77.894321,9.123
Openness,Image_33.jpeg,149870,71.345678,16.234
Openness,Image_34.jpeg,143560,82.123456,32.765
Openness,Image_35.jpeg,134590,90.987654,12.678
Openness,Image_36.jpeg,150230,75.456789,-4.123
Openness,Image_37.jpeg,152100,68.234567,20.678
Openness,Image_38.jpeg,121780,79.345678,8.432
Openness,Image_39.jpeg,138940,88.234567,27.678
Openness,Image_40.jpeg,136800,65.123456,-2.345
Openness,Image_41.jpeg,157800,72.567890,22.345
Openness,Image_42.jpeg,124900,77.901234,12.678
Openness,Image_43.jpeg,139620,85.678901,9.876
Openness,Image_44.jpeg,128900,71.234567,18.567
Openness,Image_45.jpeg,146780,64.789012,-1.234
Openness,Image_46.jpeg,154300,78.345678,15.456
Openness,Image_47.jpeg,139870,66.123456,21.789
Openness,Image_48.jpeg,115700,83.456789,-5.678
Openness,Image_49.jpeg,161400,69.234567,17.890
Openness,Image_50.jpeg,120560,74.890123,12.345
Openness,Image_51.jpeg,137800,81.678901,7.432
Openness,Image_52.jpeg,149320,76.345678,23.678
Openness,Image_53.jpeg,135670,82.123456,-4.567
Openness,Image_54.jpeg,142890,77.234567,10.789
Openness,Image_55.jpeg,158340,64.567890,14.678
Openness,Image_56.jpeg,126890,70.123456,16.789
Openness,Image_57.jpeg,116450,74.987654,-2.345
Openness,Image_58.jpeg,143700,69.234567,19.876
Openness,Image_59.jpeg,151200,73.456789,22.345
Openness,Image_60.jpeg,155700,68.987654,13.456
Openness,Image_61.jpeg,122000,74.567890,11.234
Openness,Image_62.jpeg,139400,77.890123,18.345
Openness,Image_63.jpeg,148900,68.901234,25.678
Openness,Image_64.jpeg,154600,82.123456,10.345
Openness,Image_65.jpeg,147800,79.456789,12.789
Openness,Image_66.jpeg,133200,72.345678,19.890
Openness,Image_67.jpeg,150300,65.678901,14.567
Openness,Image_68.jpeg,121000,70.123456,16.789
Openness,Image_69.jpeg,138200,85.678901,28.456
Openness,Image_70.jpeg,132500,78.901234,13.678
Openness,Image_71.jpeg,146700,74.567890,17.890
Openness,Image_72.jpeg,143100,68.901234,19.567
Openness,Image_73.jpeg,120800,76.345678,14.678
Openness,Image_74.jpeg,153900,77.890123,11.567
Openness,Image_75.jpeg,140200,83.456789,21.234
Openness,Image_76.jpeg,147300,71.234567,22.345
Openness,Image_77.jpeg,139000,66.789012,18.678
Openness,Image_78.jpeg,136800,69.456789,25.678
Openness,Image_79.jpeg,154300,74.567890,12.345
Openness,Image_80.jpeg,125000,72.345678,17.890
Openness,Image_81.jpeg,138500,78.901234,23.456
Openness,Image_82.jpeg,143700,67.890123,19.567
Openness,Image_83.jpeg,147600,80.123456,16.789
Openness,Image_84.jpeg,156000,73.456789,11.678
Openness,Image_85.jpeg,124800,68.901234,14.678
Openness,Image_86.jpeg,141000,81.234567,22.345
Openness,Image_87.jpeg,133800,72.345678,19.678
Openness,Image_88.jpeg,149300,74.567890,27.890
Openness,Image_89.jpeg,137600,69.123456,16.789
Openness,Image_90.jpeg,145000,76.789012,12.678
Openness,Image_91.jpeg,131200,73.456789,18.234
Openness,Image_92.jpeg,156500,78.901234,14.789
Openness,Image_93.jpeg,129000,77.123456,19.890
Openness,Image_94.jpeg,155000,71.234567,11.567
Openness,Image_95.jpeg,144800,68.901234,20.123
Openness,Image_96.jpeg,141800,69.456789,25.678
Openness,Image_97.jpeg,139200,76.789012,17.678
Openness,Image_98.jpeg,151000,74.567890,13.456
Openness,Image_99.jpeg,145400,72.345678,16.789
Openness,Image_100.jpeg,150800,78.901234,22.345
Conscientiousness,Image_1.jpeg,82130,56.789654,22.123
Conscientiousness,Image_2.jpeg,144560,74.312890,14.567
Conscientiousness,Image_3.jpeg,166740,62.145236,5.678
Conscientiousness,Image_4.jpeg,94820,85.764321,47.123
Conscientiousness,Image_5.jpeg,161290,125.678901,-8.456
Conscientiousness,Image_6.jpeg,242100,69.789123,4.321
Conscientiousness,Image_7.jpeg,125600,81.234567,12.678
Conscientiousness,Image_8.jpeg,106890,66.789123,-10.345
Conscientiousness,Image_9.jpeg,137100,78.456789,5.678
Conscientiousness,Image_10.jpeg,138900,94.123456,28.345
Conscientiousness,Image_11.jpeg,144500,61.789234,16.890
Conscientiousness,Image_12.jpeg,159800,71.234567,5.678
Conscientiousness,Image_13.jpeg,125400,76.543210,10.123
Conscientiousness,Image_14.jpeg,133560,78.901234,-6.789
Conscientiousness,Image_15.jpeg,149800,69.012345,24.567
Conscientiousness,Image_16.jpeg,141700,95.678901,11.234
Conscientiousness,Image_17.jpeg,118600,75.123456,-8.567
Conscientiousness,Image_18.jpeg,153400,70.123456,20.678
Conscientiousness,Image_19.jpeg,128200,85.678901,24.567
Conscientiousness,Image_20.jpeg,160400,68.901234,-2.123
Conscientiousness,Image_21.jpeg,121300,74.567890,9.876
Conscientiousness,Image_22.jpeg,141100,80.123456,28.901
